MatchNo,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Home Form,Away Form,Home Streak,Away Streak
185,13,9,2,2,2,1,1,2,11,19,3,6,19,8,4,6,2,2,1,0,1.3289773950344332,1.6966059731750158,0.75,0.75
186,19,11,4,0,0,1,0,0,14,5,5,1,8,7,4,6,0,1,0,0,3.156468182016197,0.3826063834229222,1.0,0.16666666666666666
187,6,17,1,1,2,1,0,0,12,10,6,3,16,9,9,1,2,1,0,0,0.4443974775727694,0.3827281137116778,0.16666666666666666,0.5
188,15,8,3,1,0,2,0,0,9,17,5,7,9,11,1,11,1,0,0,0,0.7042783436365159,0.524187004722781,0.25,0.16666666666666666
189,16,4,1,1,2,0,0,2,7,13,2,5,13,11,6,3,2,3,0,0,0.6128048535863475,0.7398865451994334,0.25,0.6666666666666666
190,20,10,2,3,1,1,1,2,19,11,6,4,9,12,6,3,1,1,0,0,0.7774355533713704,0.5402480325020129,0.5833333333333334,0.0
191,11,20,3,3,2,1,1,2,26,10,10,5,12,14,7,4,3,4,0,0,0.3343216133789554,0.3970327439068069,0.08333333333333333,0.5833333333333334
192,3,2,2,0,0,0,0,2,25,8,8,1,8,8,13,1,0,1,0,0,1.8486755900493443,0.1854517774439849,0.5833333333333334,0.3333333333333333
193,17,15,1,1,2,1,0,0,18,15,8,7,9,12,8,5,2,4,0,0,0.5553684886791149,0.3921828596604036,0.5833333333333334,0.25
194,14,16,5,0,0,1,0,0,22,7,9,4,5,8,4,2,0,1,0,0,1.1614824679000593,0.06734123332502043,0.5,0.3333333333333333
195,9,12,2,2,2,0,2,1,23,3,6,2,10,14,12,2,3,7,0,0,1.8735906897346613,1.3402306207675097,0.5833333333333334,0.5833333333333334
196,18,6,5,2,0,2,0,0,16,16,7,6,8,15,3,8,0,2,0,0,1.4763509322683923,0.18466281768396509,0.75,0.16666666666666666
197,7,13,2,1,0,1,1,2,11,11,1,5,7,13,8,8,3,3,0,0,0.8107469345721867,0.8110712447894144,0.0,0.5833333333333334
198,8,5,0,0,2,0,0,2,17,7,3,3,14,13,10,2,2,0,0,0,0.5330874672231214,0.7964762037671381,0.08333333333333333,0.6666666666666666
199,10,19,0,1,1,0,1,1,6,22,2,6,11,6,3,8,1,0,0,0,0.15244044663493855,4.566790672845364,0.25,1.0
